f_progdi_id;f_kodeprogdi;f_namaprogdi;f_singkatanprogdi;f_sekretarisprogdi;f_kepalaprogdi;f_fakultas_id;f_jenjang_id;f_akreditasi_id;f_skprogdi;f_urutanprogdi;f_ipdo;f_hargaformulir;f_skslulus;f_gelarlulusan;f_komputer;f_username;f_tanggalupdate;f_namaprogdi_eng;f_kodekopertis;f_kurikulumaktif;f_semesterlapor;f_tanggalmulaisk;f_tanggalakhirsk;f_kodeaktif;f_semesterhapus;f_email;f_tanggalberdiri;f_noskakreditasi;f_tanggalskakreditasi;f_tanggalexpiredakreditasi;f_frekuensiubahkurikulum;f_telepon;f_fax;f_namaoperator;f_teleponoperator;f_pelaksanaubahkurikulum
3;21;Teknik Mesin;Tek. Mesin;3866;3469;7;2;2;;4;1.5;300000;144;;DESKTOP-I2C2CU5;supervisor;59:22.7;Machine Engineering;10202;2018;;;;;;;;;;;;;;;;
1;11;Teknik Sipil;Tek. Sipil;4385;4385;6;2;2;;1;1.5;300000;144;ST;DESKTOP-3COG00K;22170001;48:09.8;Civil Engineering;10203;2018;;;;;;;;;;;;;;;;
7;33;Farmasi;Farmasi;4208;3700;8;2;2;;9;2.5;300000;144;;DESKTOP-3COG00K;supervisor;49:13.7;Pharmacist;10305;2018;;;;;;;;;;;;;;;;
8;34;Profesi Apoteker;Apt;4316;4222;8;4;2;;10;1.5;600000;33;;DESKTOP-3COG00K;supervisor;49:31.8;Pharmacist;10305;2018;;;;;;;;;;;;;;;;
20;36;Teknik Informatika;Tek Informatika;0;4050;17;2;2;;12;1.5;300000;144;S Kom;DESKTOP-A3GD4NI;supervisor;51:12.7;Teknik Informatika;;2018;;;;;;;;;;;;;;;;
19;35;Sistem Informasi;Sis Informasi;0;4054;17;2;3;;11;1.5;300000;144;S Kom;DESKTOP-A3GD4NI;supervisor;51:40.7;Sistem Informasi;;2018;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
