f_kabupaten_id;f_kodekabupaten;f_namakabupaten;f_propinsi_id;f_komputer;f_username
515;3;Ruteng;33;administrator;282240
516;4;Langgam;33;administrator;282240
517;53;Pungkalawaki;19;administrator;282240
518;36;Tehoru;17;administrator;282240
519;32;Manna;12;istn-54f2cb5db4;288632
520;53;Sukarami;2;administrator;282240
521;54;Kajuara Bone;19;administrator;282240
522;55;Liangbai;19;administrator;282240
523;35;Tolitoli;20;administrator;282240
524;56;Cilellang;19;administrator;282240
525;57;Jampoe;19;administrator;282240
526;3;Putussibau;13;administrator;282240
527;1;Lamangga;20;administrator;282240
528;2;Bone;20;administrator;282240
529;3;Penaraga;20;administrator;282240
530;4;Mandonga;20;administrator;282240
531;3;Allita;19;administrator;282240
532;5;Pallengoreng;19;administrator;282240
533;6;Watampone;19;administrator;282240
534;7;Salobongko;19;administrator;282240
535;8;Pure;19;administrator;282240
536;3;Marah Haloq;16;administrator;282240
537;2;Soahuku;21;administrator;282240
538;4;Rantepao;19;administrator;282240
539;1;Tolai;18;administrator;282240
540;18;Pardasuka;12;debrina;288632
541;7;Pariaman;8;administrator;282240
542;3;banda;21;administrator;282240
543;3;Lasusua;17;administrator;282240
544;4;Toinasa;17;administrator;282240
545;9;Taba;19;administrator;282240
546;2;Sipi;18;administrator;282240
547;10;S. Binangae Barru;19;user-39d10cbd43;282240
548;138;Sempangnge;19;debrina;288632
549;10;Pasir Pengarayan;7;administrator;282240
550;11;Panyabungan I;7;administrator;282240
551;19;Kalianda;12;debrina;288632
552;8;Lubuk Landai;8;administrator;282240
553;9;Purbasaribu;7;administrator;282240
554;3;Karang Negara;9;administrator;282240
555;4;Sapat;9;administrator;282240
556;12;Palopo;19;administrator;282240
557;12;Dolok Sanggul;7;administrator;282240
558;13;Rantau Prapat;7;administrator;282240
559;20;Gantung;9;istn-54f2cb5db4;288632
560;4;Samakurok;6;administrator;282240
561;14;Pardamuan Motung;7;administrator;282240
562;5;Ranteangin;20;administrator;282240
563;6;Lajoa;20;administrator;282240
564;7;Tanrutedong;20;administrator;282240
565;8;Bajo;20;administrator;282240
566;20;Candimas;12;debrina;288632
567;21;Muara Bungo;12;debrina;288632
568;22;Way Jepara;12;debrina;288632
569;23;Kebumen;12;debrina;288632
570;4;Saparua;21;administrator;282240
571;1;Masumeze;24;administrator;282240
572;4;Nunukan;16;administrator;282240
573;13;Pompanua;19;administrator;282240
574;14;Sumatra;19;administrator;282240
575;15;Mario;19;administrator;282240
576;9;singkut;8;Akademik;282240
577;58;Rantai Damai;19;nakum;282240
578;51;Pulau Panggung;11;nakum;282240
579;52;Kotamobagu;11;nakum;282240
580;1;Nabire;25;nakum;282240
581;5;Balinggi;17;Akademik;282240
582;6;Kotamobagu;17;Akademik;282240
583;24;Pulau Panggung;12;debrina;288632
